Symbol
ADM
ADP
AEIS
AGCO
ALGN
AMN
AMRC
AN
AON
AZN
BABA
BIDU
BIIB
BMY
BP
BTI
CAT
CF
CHTR
CI
CIVI
CMC
CMCSA
COP
CORT
CSCO
CTRA
DE
DEO
DISH
DQ
DVN
EBAY
EME
EMR
ENPH
ENS
EOG
EW
EXC
EXLS
EXTR
FANG
FHI
FMC
FOXF
FTNT
GMAB
GMED
HAL
HOLX
HSIC
HSY
IEX
ILMN
INCY
JD
LBTYA
LBTYK
MAA
MAT
MNST
MO
MOS
MTCH
MTDR
MUSA
NEP
NFG
NOK
NSRGY
NVS
ODFL
ON
OPCH
PCTY
PDCO
PFE
PII
PLUG
PXD
SEDG
SQM
SRPT
STE
TCEHY
TECK
TER
TRMB
TSLA
UL
UNM
VEEV
VICR
VLO
WBD
WMT
XOM
ZD
