Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,5.671931643670418,5.749629261290944,5.652506776150955,5.710780143737793,959500,0.0,0.0
2010-01-05 00:00:00-05:00,5.671930799643249,5.710779293929669,5.412938161962493,5.600707530975342,2563500,0.0,0.0
2010-01-06 00:00:00-05:00,5.555384892362716,5.6071833039593,5.503586480766132,5.523010730743408,1420900,0.0,0.0
2010-01-07 00:00:00-05:00,5.503586626327877,5.8273270161118695,5.503586626327877,5.788477897644043,2246400,0.0,0.0
2010-01-08 00:00:00-05:00,5.743154440669737,5.8273270161118695,5.658981865227604,5.788477897644043,798600,0.0,0.0
2010-01-11 00:00:00-05:00,5.775528034728007,5.814376531886643,5.697830422925006,5.7302045822143555,755200,0.0,0.0
2010-01-12 00:00:00-05:00,5.71725389482937,5.8143757420179245,5.71725389482937,5.743153095245361,830100,0.0,0.0
2010-01-13 00:00:00-05:00,5.782003574881275,5.8661761505526,5.6913560432000505,5.794952869415283,754000,0.0,0.0
2010-01-14 00:00:00-05:00,5.782002819538263,6.086318302419227,5.730204413197431,6.066894054412842,1561300,0.0,0.0
2010-01-15 00:00:00-05:00,6.066896294458496,6.112219762369823,5.898551102950796,5.976248741149902,1253300,0.0,0.0
2010-01-19 00:00:00-05:00,5.963298978106847,6.235240999322343,5.937399767395175,6.176967620849609,1834600,0.0,0.0
2010-01-20 00:00:00-05:00,6.118693794888064,6.435959257274399,6.015096959617901,6.377686500549316,2286900,0.0,0.0
2010-01-21 00:00:00-05:00,6.325886932519559,6.552504814089965,6.1963902944956315,6.351786136627197,3748000,0.0,0.0
2010-01-22 00:00:00-05:00,6.274088642825059,6.3258876746025585,5.840277077503579,5.872650623321533,2869400,0.0,0.0
2010-01-25 00:00:00-05:00,5.956824288241915,5.982723500115257,5.801429017001863,5.9503493309021,1796000,0.0,0.0
2010-01-26 00:00:00-05:00,5.917974424304463,6.0992688659120216,5.78200343872735,5.898549556732178,1088700,0.0,0.0
2010-01-27 00:00:00-05:00,5.872651431873051,6.196391874511891,5.872651431873051,6.176967620849609,1594000,0.0,0.0
